movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,1,5/2/2008,94,91,126,186000000.00,102118668.00,318604126.00,585171547.00
The Incredible Hulk,1,6/13/2008,67,70,112,137500000.00,55414050.00,134806913.00,265573859.00
Iron Man 2,1,5/7/2010,72,71,124,170000000.00,128122480.00,312433331.00,621156389.00
Thor,1,5/6/2011,77,76,113,150000000.00,65723338.00,181030624.00,449326618.00
Captain America: The First Avenger,1,7/22/2011,79,75,124,140000000.00,65058524.00,176654505.00,370569776.00
The Avengers,1,5/4/2012,91,91,143,225000000.00,207438708.00,623357910.00,1515100211.00
Iron Man 3,2,5/3/2013,79,78,130,200000000.00,174144585.00,408992272.00,1215392272.00
Thor: The Dark World,2,11/8/2013,66,75,111,150000000.00,85737841.00,206362140.00,644602516.00
Captain America: The Winter Soldier,2,4/4/2014,90,92,135,170000000.00,95023721.00,259746958.00,714401889.00
Guardians of the Galaxy,2,8/1/2014,92,92,121,170000000.00,94320883.00,333714112.00,770882395.00
Avengers: Age of Ultron,2,5/1/2015,76,83,141,365000000.00,191271109.00,459005868.00,1395316979.00
Ant-Man,2,7/17/2015,83,85,117,130000000.00,57225526.00,180202163.00,518858449.00
Captain America: Civil War,3,5/6/2016,90,89,146,250000000.00,179139142.00,408084349.00,1151918521.00
Doctor Strange,3,11/4/2016,89,86,115,165000000.00,85058311.00,232641920.00,676354481.00
Guardians of the Galaxy Vol. 2,3,5/5/2017,85,87,135,200000000.00,146510104.00,389813101.00,869113101.00
Spider-Man: Homecoming,3,7/7/2017,92,87,133,175000000.00,117027503.00,334201140.00,878346440.00
Thor: Ragnarok,3,11/3/2017,93,87,130,180000000.00,122744989.00,315058289.00,850482778.00
Black Panther,3,2/16/2018,96,79,134,200000000.00,202003951.00,700059566.00,1336494321.00
Avengers: Infinity War,3,4/27/2018,85,91,149,300000000.00,257698183.00,678815482.00,2048359754.00
Ant-Man and the Wasp,3,7/6/2018,87,81,118,130000000.00,75812205.00,216648740.00,623144660.00
Captain Marvel,3,3/8/2019,79,45,124,175000000.00,153433423.00,426829839.00,1129727388.00
Avengers: End Game,3,4/26/2019,94,90,181,400000000.00,357115007.00,858373000.00,2797800564.00
Spider-Man: Far From Home,3,7/2/2019,90,95,129,160000000.00,92579212.00,390532085.00,1132532832.00
Black Widow,4,7/9/2021,79,91,133,200000000.00,80366312.00,183651655.00,379751655.00
Shang-Chi and the Legend of the Ten Rings,4,9/3/2021,91,98,133,150000000.00,75388688.00,224543292.00,432243292.00
Eternals,4,11/5/2021,47,78,157,200000000.00,71297219.00,164870264.00,402064929.00
Spider-Man: No Way Home,4,12/17/2021,93,98,148,200000000.00,260138569.00,803975784.00,1891108035.00
